TIME,GEO,CEPAREMA,UNIT,Value
2010,Poland,Waste management,Million euro,45.00
2010,Portugal,Waste management,Million euro,
2010,Romania,Waste management,Million euro,67.10
2010,Slovenia,Waste management,Million euro,27.30
2010,Slovakia,Waste management,Million euro,27.10
2010,Finland,Waste management,Million euro,
2010,Sweden,Waste management,Million euro,257.90
2010,Iceland,Waste management,Million euro,
2010,Norway,Waste management,Million euro,
2010,Switzerland,Waste management,Million euro,428.50
2010,United Kingdom,Waste management,Million euro,1978.90
2010,Serbia,Waste management,Million euro,
2010,Turkiye,Waste management,Million euro,
2011,European Union,Waste management,Million euro,4041.10
2011,Belgium,Waste management,Million euro,
2011,Bulgaria,Waste management,Million euro,14.40
2011,Czechia,Waste management,Million euro,
2011,Denmark,Waste management,Million euro,-2.90
2011,Germany,Waste management,Million euro,365.00
2011,Estonia,Waste management,Million euro,
2011,Ireland,Waste management,Million euro,45.00
2011,Greece,Waste management,Million euro,
2011,Spain,Waste management,Million euro,254.00
2011,France,Waste management,Million euro,1172.40
2011,Croatia,Waste management,Million euro,
2011,Italy,Waste management,Million euro,339.00
2011,Cyprus,Waste management,Million euro,4.70
2011,Latvia,Waste management,Million euro,5.60
2011,Lithuania,Waste management,Million euro,22.90
2011,Luxembourg,Waste management,Million euro,5.30
2011,Hungary,Waste management,Million euro,
2011,Malta,Waste management,Million euro,
2011,Netherlands,Waste management,Million euro,
2011,Austria,Waste management,Million euro,17.00
2011,Poland,Waste management,Million euro,30.70
2011,Portugal,Waste management,Million euro,
2011,Romania,Waste management,Million euro,103.00
2011,Slovenia,Waste management,Million euro,14.50
2011,Slovakia,Waste management,Million euro,22.50
2011,Finland,Waste management,Million euro,
2011,Sweden,Waste management,Million euro,313.50
2011,Iceland,Waste management,Million euro,
2011,Norway,Waste management,Million euro,
2011,Switzerland,Waste management,Million euro,467.80
2011,United Kingdom,Waste management,Million euro,1961.70
2011,Serbia,Waste management,Million euro,
2011,Turkiye,Waste management,Million euro,
2012,European Union,Waste management,Million euro,4136.30
2012,Belgium,Waste management,Million euro,
2012,Bulgaria,Waste management,Million euro,32.40
2012,Czechia,Waste management,Million euro,59.80
2012,Denmark,Waste management,Million euro,0.10
2012,Germany,Waste management,Million euro,428.00
2012,Estonia,Waste management,Million euro,
2012,Ireland,Waste management,Million euro,34.60
2012,Greece,Waste management,Million euro,
2012,Spain,Waste management,Million euro,249.00
2012,France,Waste management,Million euro,1073.90
2012,Croatia,Waste management,Million euro,
2012,Italy,Waste management,Million euro,321.00
2012,Cyprus,Waste management,Million euro,0.50
2012,Latvia,Waste management,Million euro,12.10
2012,Lithuania,Waste management,Million euro,16.80
2012,Luxembourg,Waste management,Million euro,6.10
2012,Hungary,Waste management,Million euro,
2012,Malta,Waste management,Million euro,
2012,Netherlands,Waste management,Million euro,
2012,Austria,Waste management,Million euro,39.70
2012,Poland,Waste management,Million euro,33.70
2012,Portugal,Waste management,Million euro,
2012,Romania,Waste management,Million euro,91.10
2012,Slovenia,Waste management,Million euro,14.90
2012,Slovakia,Waste management,Million euro,91.40
2012,Finland,Waste management,Million euro,
2012,Sweden,Waste management,Million euro,336.40
2012,Iceland,Waste management,Million euro,
2012,Norway,Waste management,Million euro,
2012,Switzerland,Waste management,Million euro,464.00
2012,United Kingdom,Waste management,Million euro,2523.00
2012,Serbia,Waste management,Million euro,
2012,Turkiye,Waste management,Million euro,
2013,European Union,Waste management,Million euro,4156.60
2013,Belgium,Waste management,Million euro,
2013,Bulgaria,Waste management,Million euro,44.40
2013,Czechia,Waste management,Million euro,52.70
2013,Denmark,Waste management,Million euro,0.30
2013,Germany,Waste management,Million euro,397.00
2013,Estonia,Waste management,Million euro,
2013,Ireland,Waste management,Million euro,28.80
2013,Greece,Waste management,Million euro,
2013,Spain,Waste management,Million euro,216.00
2013,France,Waste management,Million euro,1124.20
2013,Croatia,Waste management,Million euro,
2013,Italy,Waste management,Million euro,241.00
2013,Cyprus,Waste management,Million euro,2.80
2013,Latvia,Waste management,Million euro,8.70
2013,Lithuania,Waste management,Million euro,2.60
2013,Luxembourg,Waste management,Million euro,8.10
2013,Hungary,Waste management,Million euro,
2013,Malta,Waste management,Million euro,7.20
2013,Netherlands,Waste management,Million euro,591.00
2013,Austria,Waste management,Million euro,34.50
2013,Poland,Waste management,Million euro,28.30
2013,Portugal,Waste management,Million euro,
2013,Romania,Waste management,Million euro,139.70
2013,Slovenia,Waste management,Million euro,19.80
2013,Slovakia,Waste management,Million euro,66.80
2013,Finland,Waste management,Million euro,
