DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Cyprus,2017,194,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Cyprus,2018,187,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Cyprus,2019,213,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Cyprus,2020,234,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Cyprus,2021,273,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Czechia,2010,1437,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Czechia,2011,1632,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Czechia,2012,1644,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Czechia,2013,1779,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Czechia,2014,1879,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Czechia,2015,1956,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Czechia,2016,2036,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Czechia,2017,2177,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Czechia,2018,2198,
